datetime,location,incident_number,details,retrieval_date
11/02/2024 10:57,MAIN ST / HECKER ST,24088200,ADDED INFO TO PREVIOUS CASE,2024-11-03
11/02/2024 11:00,14 ORANGE ST,24088201,DEATH,2024-11-03
11/02/2024 11:01,75 Parkside Ave: @PARKSIDE MIDDLE SCHOOL,24088202,ALARM BURGLARY,2024-11-03
11/02/2024 11:24,581 Union St,24088205,CHECK AREA FOR PROBLEM,2024-11-03
11/02/2024 11:28,199 Precourt St,24088206,CHECK AREA FOR PROBLEM,2024-11-03
11/02/2024 11:34,Gold St / Bradley St,24088210,CHECK AREA FOR PROBLEM,2024-11-03
11/02/2024 11:40,75 Parkside Ave: @PARKSIDE MIDDLE SCHOOL,24088209,ALARM BURGLARY,2024-11-03
11/02/2024 11:40,405 Valley St: @MPD,24088208,CRIMINAL THREATENING,2024-11-03
11/02/2024 11:56,95 W Clarke St: @COLONIAL VILLAGE #95,24088211,VEHICLE ALARM,2024-11-03
11/02/2024 15:03,865 S Willow St: @ADVANCE AUTO PARTS,24088240,UNWANTED SUBJECT,2024-11-03
11/02/2024 12:05,216 ELMWOOD AVE,24088212,CIVIL STANDBY,2024-11-03
11/02/2024 12:07,12 Country Club Dr: @HERITAGE AT THE RIVER #12,24088213,CHECK CONDITION OF SUBJECT,2024-11-03
11/02/2024 12:12,S Jewett St / Holly Ave,24088214,TRAFFIC STOP,2024-11-03
11/02/2024 12:23,75 Parkside Ave: @PARKSIDE MIDDLE SCHOOL,24088215,ALARM BURGLARY,2024-11-03
11/02/2024 12:43,725 Gold St: @WALMART,24088216,MEDICAL PROBLEM,2024-11-03
11/02/2024 12:49,191 Hackett Hill Rd: @HACKETT HILL HEALTH CARE,24088217,,2024-11-03
11/02/2024 12:50,2287 Brown Ave: @MCDONALDS 2287 Brown Ave,24088218,ACCIDENT,2024-11-03
11/02/2024 12:51,200 Hanover St: @HUGH GALLEN HIGH RISE,24088219,TRESPASSING,2024-11-03
11/02/2024 13:03,250 Dubuque St: @FRICKERS NEIGHBORHOOD GRILL,24088220,CRIMINAL MISCHIEF,2024-11-03
11/02/2024 13:11,14 Orange St,24088221,CHECK SUBJECT,2024-11-03
11/02/2024 13:12,270 MAMMOTH RD: @RITE AID MAMMOTH RD,24088222,BUSINESS CHECK,2024-11-03
11/02/2024 13:16,178 Joliette St,24088224,CHECK CONDITION OF SUBJECT,2024-11-03
11/02/2024 13:19,146 Massabesic St,24088225,CHECK CONDITION OF SUBJECT,2024-11-03
11/02/2024 13:20,Brown Ave / Winston St,24088223,ACCIDENT,2024-11-03
11/02/2024 13:34,501 Elm St,24088226,ACCIDENT,2024-11-03
11/02/2024 13:39,720 Hanover St,24088227,ALARM BURGLARY,2024-11-03
11/02/2024 13:45,458 Lake Ave,24088228,CHECK AREA FOR PROBLEM,2024-11-03
11/02/2024 14:00,303 BEECH ST: @JFK COLISEUM,24088229,ASSAULT,2024-11-03
11/02/2024 14:02,177 Lexington Ave,24088230,CRIMINAL MISCHIEF,2024-11-03
11/02/2024 14:04,177 Lexington Ave,24088231,CRIMINAL MISCHIEF,2024-11-03
11/02/2024 14:23,Pine St / Concord St,24088232,CHECK SUBJECT,2024-11-03
11/02/2024 14:26,921 S Willow St: @AUTOZONE,24088233,CHECK CONDITION OF SUBJECT,2024-11-03
11/02/2024 14:36,842 DOUGLAS ST: @THIBEAULT FIELD,24088234,SPECIAL ATTENTION,2024-11-03
11/02/2024 14:36,Granite St / Commercial St,24088235,ACCIDENT,2024-11-03
11/02/2024 14:47,140 Queen City Ave: @FARNUM CENTER,24088236,HARRASSMENT,2024-11-03
11/02/2024 14:54,112 Milford St,24088237,MEDICAL PROBLEM,2024-11-03
11/02/2024 14:56,102 Sagamore St,24088238,THEFT,2024-11-03
11/02/2024 15:03,2500 River Rd: @SNHU NEW CASTLE HALL (SNHU),24088242,CIVIL STANDBY,2024-11-03
11/02/2024 17:36,165 Concord St,24088275,CHECK SUBJECT,2024-11-03
11/02/2024 15:04,269 Joseph St Ext,24088241,FRAUD,2024-11-03
11/02/2024 15:56,443 CHESTNUT ST: @VICTORY PARK,24088252,SPECIAL ATTENTION,2024-11-03
11/02/2024 17:13,1571 S Willow St: @JARED JEWELERS,24088272,CHECK AREA FOR PROBLEM,2024-11-03
11/02/2024 16:58,90 Bridge St: @TN GAS & CONVENIENCE,24088266,TRAFFIC STOP,2024-11-03
11/02/2024 15:14,654 Amory St,24088243,ATTEMPTED SUICIDE,2024-11-03
11/02/2024 15:15,172 Boutwell St,24088245,SUSPICIOUS ACTIVITY,2024-11-03
11/02/2024 15:17,111 Amherst St: @DEVINE MILLIMET & BRANCH,24088244,HOMELESS ISSUES,2024-11-03
11/02/2024 15:33,93 S Maple St: @DAW KUN THAI,24088246,TRESPASSING,2024-11-03
11/02/2024 15:40,480 Kimball St,24088247,CRIMINAL THREATENING,2024-11-03
11/02/2024 15:50,117 Therrien Ln,24088249,ALARM BURGLARY,2024-11-03
11/02/2024 15:51,1056 River Rd: @YDC,24088248,SPECIAL ATTENTION,2024-11-03
11/02/2024 15:52,S Willow St / 293 N Off Ramp To S Willow St N Exit,24088251,CHECK CONDITION OF SUBJECT,2024-11-03
11/02/2024 15:52,Elm Street,24088250,SPECIAL ATTENTION,2024-11-03
11/02/2024 15:57,UNION ST / GROVE ST,24088253,HOTSPOT PATROL,2024-11-03
11/02/2024 21:19,AMORY ST / NOTRE DAME AVE,24088320,TRAFFIC STOP,2024-11-03
11/02/2024 16:05,844 Elm St: @THE BOOKERY,24088254,HOMELESS ISSUES,2024-11-03
11/02/2024 16:10,Amherst St / Union St,24088255,CHECK SUBJECT,2024-11-03
11/02/2024 16:23,93 S Maple St: @SAVERS,24088256,CHECK CONDITION OF SUBJECT,2024-11-03
11/02/2024 16:26,Londonderry Ln / Chestnut St,24088257,OVERDOSE,2024-11-03
11/02/2024 16:28,1056 River Rd: @YDC,24088258,HANGUP CALL,2024-11-03
11/02/2024 16:34,725 Gold St: @WALMART,24088259,CHECK SUBJECT,2024-11-03
11/02/2024 16:37,1111 S Willow St: @Petco 1111 S Willow Street (111,24088260,TRESPASSING,2024-11-03
11/02/2024 16:45,210 EDDY RD: @MOBIL MART,24088261,BUSINESS CHECK,2024-11-03
11/02/2024 16:46,Cedar St South Back / Maple St,24088262,TRAFFIC STOP,2024-11-03
11/02/2024 16:50,115 Alexander Dr,24088263,ASSIST OTHER AGENCY,2024-11-03
11/02/2024 16:54,MAST RD / MAYBROOK AVE,24088264,ACCIDENT,2024-11-03
11/02/2024 17:14,215 Hanover St,24088267,CHECK SUBJECT,2024-11-03
11/02/2024 17:17,200 HANOVER ST: @HUGH GALLEN HIGH RISE,24088268,SPECIAL ATTENTION,2024-11-03
11/02/2024 18:59,CONANT ST / DUBUQUE ST,24088293,HOTSPOT PATROL,2024-11-03
11/02/2024 18:56,Brown Ave / Queen City Ave,24088292,ACCIDENT,2024-11-03
11/02/2024 00:03,216 Maple St: @YANKEE LANES ENTERTAINMENT,24088129,TRAFFIC STOP,2024-11-03
11/02/2024 17:46,210 EDDY RD: @MOBIL MART,24088279,BUSINESS CHECK,2024-11-03
11/02/2024 17:17,1351 Hall St,24088269,CHECK CONDITION OF SUBJECT,2024-11-03
11/02/2024 17:20,1059 Hayward St,24088271,THEFT,2024-11-03
11/02/2024 17:21,Union St / Litchfield Ln,24088270,TRAFFIC STOP,2024-11-03
11/02/2024 17:21,261 Pine St: @RED OAK PROPERTIES #261,24088274,ADDED INFO TO PREVIOUS CASE,2024-11-03
11/02/2024 17:24,101 S Commercial St: @HILTON GARDEN INN,24088273,HOMELESS ISSUES,2024-11-03
11/02/2024 17:39,64 Plainfield St,24088281,BROADCAST MESSAGE,2024-11-03
11/02/2024 17:41,777 Hooksett Rd,24088280,BROADCAST MESSAGE,2024-11-03
11/02/2024 17:41,1475 S Willow St: @AUTOFAIR FORD,24088276,ADDED INFO TO PREVIOUS CASE,2024-11-03
11/02/2024 17:41,300 Kelley St: @ST PETER'S DAY CARE,24088277,ALARM BURGLARY,2024-11-03
11/02/2024 17:43,843 Mammoth Rd: @FOURTH ST REALTY #843,24088278,CHECK CONDITION OF SUBJECT,2024-11-03
11/02/2024 17:51,0 Mcgrail Cir,24088283,ACCIDENT,2024-11-03
11/02/2024 00:10,Maple St / Orange St,24088130,TRAFFIC STOP,2024-11-03
11/02/2024 17:53,10 ARMS ST: @ARMS PARK,24088282,CHECK VEHICLE,2024-11-03
11/02/2024 17:58,Maple St / Concord St,24088284,CHECK AREA FOR PROBLEM,2024-11-03
11/02/2024 18:01,303 Beech St: @JFK COLISEUM,24088286,CHECK AREA FOR PROBLEM,2024-11-03
11/02/2024 18:03,1298 S Porter St: @HOLIDAY INN EXPRESS,24088285,HANGUP CALL,2024-11-03
11/02/2024 18:10,Union St / Summer St South Back: @STANTON PARK,24088287,CHECK AREA FOR PROBLEM,2024-11-03
11/02/2024 18:23,177 Massabesic St,24088288,CHECK AREA FOR PROBLEM,2024-11-03
11/02/2024 18:28,1356 Elm St,24088289,CHECK CONDITION OF SUBJECT,2024-11-03
11/02/2024 18:40,Lake Ave / Union St,24088290,TRAFFIC STOP,2024-11-03
11/02/2024 18:44,443 Chestnut St: @VICTORY PARK,24088291,OVERDOSE,2024-11-03
11/02/2024 16:55,9 Notre Dame Ave: @WEST HIGH SCHOOL,24088265,ALARM BURGLARY,2024-11-03
11/02/2024 18:59,Union St / River Rd,24088294,SPECIAL ATTENTION,2024-11-03
11/02/2024 19:02,675 S Willow St: @WENDY'S S WILLOW ST,24088295,CHECK CONDITION OF SUBJECT,2024-11-03
11/02/2024 21:21,725 Gold St: @WALMART,24088321,CHECK SUBJECT,2024-11-03
11/02/2024 21:19,100 Milford St,24088322,HARRASSMENT,2024-11-03
11/02/2024 19:10,Union St / Salmon St,24088297,TRAFFIC STOP,2024-11-03
11/02/2024 19:23,CONANT ST / DUBUQUE ST,24088299,HOTSPOT PATROL,2024-11-03
11/02/2024 19:53,Cedar St / Union St,24088300,TRAFFIC STOP,2024-11-03
11/02/2024 19:54,445 Willow St: @VALLEY STREET JAIL,24088301,WAGON TRANSPORT,2024-11-03
11/02/2024 19:58,201 HANOVER ST: @VERANDA MARTINI BAR AND GRILLE,24088302,SPECIAL ATTENTION,2024-11-03
11/02/2024 20:01,18 DUFORT ST,24088303,TRAFFIC STOP,2024-11-03
11/02/2024 20:05,Hanover St / Wilson St,24088304,TRAFFIC STOP,2024-11-03
11/02/2024 20:15,Queen City Ave / Elm St,24088305,CHECK SUBJECT,2024-11-03
11/02/2024 20:21,WEBSTER ST / UNION ST,24088306,TRAFFIC STOP,2024-11-03
11/02/2024 20:40,430 Youville St: @CULLEROT PARK,24088307,CHECK VEHICLE,2024-11-03
11/02/2024 20:43,Nashua St / E High St,24088308,TRAFFIC STOP,2024-11-03
11/02/2024 20:50,Sagamore St / Union St,24088309,CHECK AREA FOR PROBLEM,2024-11-03
11/02/2024 20:54,Mcgregor St / W Bridge St: @MCGREGOR SQUARE,24088310,TRAFFIC STOP,2024-11-03
11/02/2024 20:54,Elm St / Pearl St,24088311,TRAFFIC STOP,2024-11-03
11/02/2024 20:58,elm st,24088312,SPECIAL ATTENTION,2024-11-03
11/02/2024 21:02,Union St / Manchester St,24088313,CHECK SUBJECT,2024-11-03
11/02/2024 21:04,430 Youville St: @CULLEROT PARK,24088314,CHECK SUBJECT,2024-11-03
11/02/2024 21:07,350 VALLEY ST: @GILL STADIUM VALLEY ST,24088315,CHECK AREA FOR PROBLEM,2024-11-03
11/02/2024 21:07,199 Manchester St: @FIT - FAMLIES IN TRANSITION,24088316,CHECK SUBJECT,2024-11-03
11/02/2024 21:11,Amherst St / Union St,24088317,CHECK SUBJECT,2024-11-03
11/02/2024 21:14,Lake Ave / Pine St,24088318,TRAFFIC STOP,2024-11-03
11/02/2024 21:14,212 Lowell St: @DOMINOS LOWELL ST,24088319,CHECK CONDITION OF SUBJECT,2024-11-03
11/02/2024 19:08,365 Lincoln St: @SKYZONE TRAMPOLINE (MANCH ESTER S,24088298,ASSAULT,2024-11-03
11/02/2024 21:26,Amory St / Cartier St,24088323,TRAFFIC STOP,2024-11-03
11/02/2024 19:06,95 W Clarke St: @COLONIAL VILLAGE #95,24088296,CHECK CONDITION OF SUBJECT,2024-11-03
11/02/2024 23:47,177 Lexington Ave,24088348,ADDED INFO TO PREVIOUS CASE,2024-11-03
11/02/2024 21:24,94-96 Laurel St,24088324,HOMELESS ISSUES,2024-11-03
11/02/2024 21:29,OLD GRANITE ST,24088325,SPECIAL ATTENTION,2024-11-03
11/02/2024 21:33,Elm St / Concord St,24088326,CHECK SUBJECT,2024-11-03
11/02/2024 21:35,17 Ferry St,24088329,LOST PROPERTY,2024-11-03
11/02/2024 21:39,S MAIN ST / BLAINE ST,24088327,TRAFFIC STOP,2024-11-03
11/02/2024 21:41,200 Hanover St: @HUGH GALLEN HIGH RISE,24088328,HOMELESS ISSUES,2024-11-03
11/02/2024 21:50,125 Bridge St: @PULASKI PARK,24088330,CHECK SUBJECT,2024-11-03
11/02/2024 21:58,519 Dubuque St,24088332,GUNSHOT HEARD,2024-11-03
11/02/2024 21:58,947 Elm St: @BUNNY'S CONVENIENCE,24088331,CHECK SUBJECT,2024-11-03
11/02/2024 21:59,301 Amory St,24088333,GUNSHOT HEARD,2024-11-03
11/02/2024 22:01,368 Lowell St,24088334,GUNSHOT HEARD,2024-11-03
11/02/2024 22:05,Old Granite,24088335,SPECIAL ATTENTION,2024-11-03
11/02/2024 22:06,Willow St / Hayward St,24088336,TRAFFIC STOP,2024-11-03
11/02/2024 22:20,409 Elm St: @RED OAK APARTMENTS,24088337,FIGHT,2024-11-03
11/02/2024 22:28,OLD GRANITE ST,24088338,SPECIAL ATTENTION,2024-11-03
11/02/2024 22:33,217 Union St: @Brothers Express,24088339,CHECK VEHICLE,2024-11-03
11/02/2024 22:42,450 Second St,24088340,ALARM BURGLARY,2024-11-03
11/02/2024 22:42,Maple St / Auburn St South Back,24088342,ASSAULT,2024-11-03
11/02/2024 22:43,200 Elm St,24088341,FIGHT,2024-11-03
11/02/2024 23:06,37 Bedel St,24088343,FOUND PROPERTY,2024-11-03
11/02/2024 23:07,270 Laurel St,24088347,CHECK VEHICLE,2024-11-03
11/02/2024 23:11,442 Notre Dame Ave,24088345,HOMELESS ISSUES,2024-11-03
11/02/2024 23:24,595 Pine St,24088346,THEFT,2024-11-03
11/02/2024 23:49,1055 Elm St: @BarCode,24088349,NOISE COMPLAINT,2024-11-03
